node_id,label,rung,class,family,unit,value,source
A generally applicable atomic-charge dependent London dispersion correction,Paper,,,,,,
D4,DispersionCorrection,,,,,,
D3,DispersionCorrection,,,,,,
D3(BJ),DispersionCorrection,,,,,,
D3(BJ)-ATM,DispersionCorrection,,,,,,
D4-ATM,DispersionCorrection,,,,,,
D4-MBD,DispersionCorrection,,,,,,
XDM,DispersionCorrection,,,,,,
MBD,DispersionCorrection,,,,,,
TS,DispersionCorrection,,,,,,
LRD,DispersionCorrection,,,,,,
D4(TB),DispersionCorrection,,,,,,
D4(TB)-ATM,DispersionCorrection,,,,,,
D4(TB)-MBD,DispersionCorrection,,,,,,
PBE,Functional,,,,,,
PBE0,Functional,,,,,,
PBE38,Functional,,,,,,
BLYP,Functional,,,,,,
BP86,Functional,,,,,,
M06L,Functional,,,,,,
O-LYP,Functional,,,,,,
revPBE,Functional,,,,,,
RPBE,Functional,,,,,,
SCAN,Functional,,,,,,
M06,Functional,,,,,,
B3LYP,Functional,,,,,,
BHLYP,Functional,,,,,,
M062X,Functional,,,,,,
O3LYP,Functional,,,,,,
PW6B95,Functional,,,,,,
TPSS0,Functional,,,,,,
TPSSh,Functional,,,,,,
DSD-BLYP,Functional,,,,,,
DSD-PBEB95,Functional,,,,,,
PWPB95,Functional,,,,,,
DOD-PBE,Functional,,,,,,
DSD-PBE,Functional,,,,,,
TPSS,Functional,,,,,,
DOSD,BenchmarkSet,,,,,,
TOMC6 Subset,BenchmarkSet,,,,,,
TOMC6 Complete,BenchmarkSet,,,,,,
S66x8,BenchmarkSet,,,,,,
S22x5,BenchmarkSet,,,,,,
NCIBLIND10,BenchmarkSet,,,,,,
L7,BenchmarkSet,,,,,,
S30L,BenchmarkSet,,,,,,
S22,BenchmarkSet,,,,,,
SCONF,BenchmarkSet,,,,,,
PCONF21,BenchmarkSet,,,,,,
ICONF,BenchmarkSet,,,,,,
UPU23,BenchmarkSet,,,,,,
MOR41,BenchmarkSet,,,,,,
GMTKN55,BenchmarkSet,,,,,,
GMTKN55 NCIs,BenchmarkSet,,,,,,
ROT34,BenchmarkSet,,,,,,
LMGB35,BenchmarkSet,,,,,,
HMGB11,BenchmarkSet,,,,,,
TMC32,BenchmarkSet,,,,,,
S66,BenchmarkSet,,,,,,
MAD (%),Metric,,,,%,,
MD (%),Metric,,,,%,,
SD (%),Metric,,,,%,,
AMAX (%),Metric,,,,%,,
MAD (kcal mol⁻¹),Metric,,,,kcal mol⁻¹,,
WTMAD-2 (kcal mol⁻¹),Metric,,,,kcal mol⁻¹,,
Relative MAD (%),Metric,,,,%,,
MAD (pm),Metric,,,,pm,,
VR_DOSD_D4,ValidationResult,,,,%,3.8,
VR_DOSD_D4(TB),ValidationResult,,,,%,3.9,
VR_DOSD_D3,ValidationResult,,,,%,4.7,
VR_DOSD_LRD,ValidationResult,,,,%,6.1,
VR_DOSD_TS,ValidationResult,,,,%,5.3,
VR_TOMC6_SUB_D4,ValidationResult,,,,%,8.7,
VR_TOMC6_SUB_D4(TB),ValidationResult,,,,%,8.9,
VR_TOMC6_SUB_D3,ValidationResult,,,,%,20.5,
VR_TOMC6_SUB_XDM,ValidationResult,,,,%,9.4,
VR_TOMC6_SUB_MBD,ValidationResult,,,,%,13.7,
VR_TOMC6_COMP_D4,ValidationResult,,,,%,7,
VR_TOMC6_COMP_D4(TB),ValidationResult,,,,%,7.9,
VR_TOMC6_COMP_D3,ValidationResult,,,,%,12,
VR_S30L_PW6B95_D3(BJ),ValidationResult,,,,kcal mol⁻¹,3.4,
VR_S30L_PW6B95_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,2.4,
VR_S30L_TPSS_D3(BJ),ValidationResult,,,,kcal mol⁻¹,4.1,
VR_S30L_TPSS_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,3.6,
VR_S30L_B3LYP_D3(BJ),ValidationResult,,,,kcal mol⁻¹,5.9,
VR_S30L_B3LYP_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,4.1,
VR_S30L_PBE_D3(BJ),ValidationResult,,,,kcal mol⁻¹,2.3,
VR_S30L_PBE_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,2.8,
VR_SCONF_PBE_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,0.78,
VR_SCONF_PBE_D4-ATM,ValidationResult,,,,kcal mol⁻¹,0.88,
VR_SCONF_PBE_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,0.77,
VR_SCONF_B3LYP_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,0.29,
VR_SCONF_B3LYP_D4-ATM,ValidationResult,,,,kcal mol⁻¹,0.33,
VR_SCONF_B3LYP_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,0.23,
VR_SCONF_PW6B95_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,0.24,
VR_SCONF_PW6B95_D4-ATM,ValidationResult,,,,kcal mol⁻¹,0.28,
VR_SCONF_PW6B95_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,0.2,
VR_PCONF21_PBE_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,1.2,
VR_PCONF21_PBE_D4-ATM,ValidationResult,,,,kcal mol⁻¹,0.99,
VR_PCONF21_PBE_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,1.04,
VR_PCONF21_B3LYP_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,0.53,
VR_PCONF21_B3LYP_D4-ATM,ValidationResult,,,,kcal mol⁻¹,0.35,
VR_PCONF21_B3LYP_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,0.3,
VR_PCONF21_PW6B95_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,0.48,
VR_PCONF21_PW6B95_D4-ATM,ValidationResult,,,,kcal mol⁻¹,0.49,
VR_PCONF21_PW6B95_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,0.49,
VR_ICONF_PBE_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,0.31,
VR_ICONF_PBE_D4-ATM,ValidationResult,,,,kcal mol⁻¹,0.31,
VR_ICONF_PBE_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,0.31,
VR_ICONF_B3LYP_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,0.28,
VR_ICONF_B3LYP_D4-ATM,ValidationResult,,,,kcal mol⁻¹,0.28,
VR_ICONF_B3LYP_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,0.27,
VR_ICONF_PW6B95_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,0.22,
VR_ICONF_PW6B95_D4-ATM,ValidationResult,,,,kcal mol⁻¹,0.22,
VR_ICONF_PW6B95_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,0.22,
VR_UPU23_PBE_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,0.57,
VR_UPU23_PBE_D4-ATM,ValidationResult,,,,kcal mol⁻¹,0.51,
VR_UPU23_PBE_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,0.48,
VR_UPU23_B3LYP_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,0.68,
VR_UPU23_B3LYP_D4-ATM,ValidationResult,,,,kcal mol⁻¹,0.6,
VR_UPU23_B3LYP_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,0.54,
VR_UPU23_PW6B95_D3(BJ)-ATM,ValidationResult,,,,kcal mol⁻¹,0.66,
VR_UPU23_PW6B95_D4-ATM,ValidationResult,,,,kcal mol⁻¹,0.63,
VR_UPU23_PW6B95_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,0.59,
VR_NCI_B3LYP_D4-ATM,ValidationResult,,,,kcal mol⁻¹,5.58,
VR_NCI_B3LYP_D4-MBD,ValidationResult,,,,kcal mol⁻¹,5.76,
VR_NCI_B3LYP_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,6.29,
VR_NCI_B3LYP_D4(TB)-MBD,ValidationResult,,,,kcal mol⁻¹,6.36,
VR_NCI_PW6B95_D4-ATM,ValidationResult,,,,kcal mol⁻¹,5.29,
VR_NCI_PW6B95_D4-MBD,ValidationResult,,,,kcal mol⁻¹,5.27,
VR_NCI_PW6B95_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,5.38,
VR_NCI_PW6B95_D4(TB)-MBD,ValidationResult,,,,kcal mol⁻¹,5.5,
VR_NCI_DSD-BLYP_D4-ATM,ValidationResult,,,,kcal mol⁻¹,3.23,
VR_NCI_DSD-BLYP_D4-MBD,ValidationResult,,,,kcal mol⁻¹,3.15,
VR_NCI_DSD-BLYP_D4(TB)-ATM,ValidationResult,,,,kcal mol⁻¹,3.09,
VR_NCI_DSD-BLYP_D4(TB)-MBD,ValidationResult,,,,kcal mol⁻¹,3.12,
VR_LMGB35_PBE_D3(BJ)-ATM,ValidationResult,,,,pm,0.9,
VR_LMGB35_PBE_D4-ATM,ValidationResult,,,,pm,0.9,
VR_LMGB35_B3LYP_D3(BJ)-ATM,ValidationResult,,,,pm,0.8,
VR_LMGB35_B3LYP_D4-ATM,ValidationResult,,,,pm,0.8,
VR_LMGB35_PBE0_D3(BJ)-ATM,ValidationResult,,,,pm,0.7,
VR_LMGB35_PBE0_D4-ATM,ValidationResult,,,,pm,0.7,
VR_HMGB11_PBE_D3(BJ)-ATM,ValidationResult,,,,pm,1,
VR_HMGB11_PBE_D4-ATM,ValidationResult,,,,pm,1.1,
VR_HMGB11_B3LYP_D3(BJ)-ATM,ValidationResult,,,,pm,1.1,
VR_HMGB11_B3LYP_D4-ATM,ValidationResult,,,,pm,1.2,
VR_HMGB11_PBE0_D3(BJ)-ATM,ValidationResult,,,,pm,1,
VR_HMGB11_PBE0_D4-ATM,ValidationResult,,,,pm,1.1,
VR_TMC32_PBE_D3(BJ)-ATM,ValidationResult,,,,pm,1,
VR_TMC32_PBE_D4-ATM,ValidationResult,,,,pm,1.1,
VR_TMC32_B3LYP_D3(BJ)-ATM,ValidationResult,,,,pm,1,
VR_TMC32_B3LYP_D4-ATM,ValidationResult,,,,pm,1.1,
VR_TMC32_PBE0_D3(BJ)-ATM,ValidationResult,,,,pm,1,
VR_TMC32_PBE0_D4-ATM,ValidationResult,,,,pm,1.1,
VR_ROT34_PBE_D3(BJ)-ATM,ValidationResult,,,,%,0.7,
VR_ROT34_PBE_D4-ATM,ValidationResult,,,,%,0.7,
VR_ROT34_TPSS_D3(BJ)-ATM,ValidationResult,,,,%,0.8,
VR_ROT34_TPSS_D4-ATM,ValidationResult,,,,%,0.8,
VR_ROT34_PBE0_D3(BJ)-ATM,ValidationResult,,,,%,0.5,
VR_ROT34_PBE0_D4-ATM,ValidationResult,,,,%,0.5,
VR_ROT34_B3LYP_D3(BJ)-ATM,ValidationResult,,,,%,0.6,
VR_ROT34_B3LYP_D4-ATM,ValidationResult,,,,%,0.6,
VR_ROT34_O-LYP_D3(BJ)-ATM,ValidationResult,,,,%,0.9,
VR_ROT34_O-LYP_D4-ATM,ValidationResult,,,,%,0.9,
VR_ROT34_SCAN_D3(BJ)-ATM,ValidationResult,,,,%,0.6,
VR_ROT34_SCAN_D4-ATM,ValidationResult,,,,%,0.6,
VR_ROT34_revPBE_D3(BJ)-ATM,ValidationResult,,,,%,0.9,
VR_ROT34_revPBE_D4-ATM,ValidationResult,,,,%,0.9,
VR_S66_PBE_D3(BJ)-ATM,ValidationResult,,,,%,0.9,
VR_S66_PBE_D4-ATM,ValidationResult,,,,%,0.8,
VR_S66_TPSS_D3(BJ)-ATM,ValidationResult,,,,%,1,
VR_S66_TPSS_D4-ATM,ValidationResult,,,,%,0.9,
VR_S66_PBE0_D3(BJ)-ATM,ValidationResult,,,,%,0.5,
VR_S66_PBE0_D4-ATM,ValidationResult,,,,%,0.5,
VR_S66_B3LYP_D3(BJ)-ATM,ValidationResult,,,,%,1,
VR_S66_B3LYP_D4-ATM,ValidationResult,,,,%,0.9,
VR_S66_O-LYP_D3(BJ)-ATM,ValidationResult,,,,%,1.4,
VR_S66_O-LYP_D4-ATM,ValidationResult,,,,%,1.3,
VR_S66_SCAN_D3(BJ)-ATM,ValidationResult,,,,%,0.9,
VR_S66_SCAN_D4-ATM,ValidationResult,,,,%,0.8,
VR_S66_revPBE_D3(BJ)-ATM,ValidationResult,,,,%,1.9,
VR_S66_revPBE_D4-ATM,ValidationResult,,,,%,1.5,
Thirty years of density functional theory in computational chemistry: an overview and extensive assessment of 200 density functionals,Paper,,,,,,
HF,Functional,,,,,,
MP2,Functional,,,,,,
CCSD(T),Functional,,,,,,
SPW92,Functional,,,,,,
SVWN5,Functional,,,,,,
LSDA,Functional,,,,,,
B88,Functional,,,,,,
PW91,Functional,,,,,,
HCTH/93,Functional,,,,,,
HCTH/120,Functional,,,,,,
HCTH/147,Functional,,,,,,
HCTH/407,Functional,,,,,,
BOP,Functional,,,,,,
BPBE,Functional,,,,,,
mPW91,Functional,,,,,,
OLYP,Functional,,,,,,
PBEOP,Functional,,,,,,
rPW86PBE,Functional,,,,,,
SOGGA,Functional,,,,,,
B97-D,Functional,,,,,,
SOGGA11,Functional,,,,,,
N12,Functional,,,,,,
GAM,Functional,,,,,,
B97,Functional,,,,,,
VSXC,Functional,,,,,,
τ-HCTH,Functional,,,,,,
oTPSS,Functional,,,,,,
mBEEF,Functional,,,,,,
M06-L,Functional,,,,,,
M11-L,Functional,,,,,,
B97M,Functional,,,,,,
MS1,Functional,,,,,,
MN12-L,Functional,,,,,,
MN15-L,Functional,,,,,,
MS0,Functional,,,,,,
MVS,Functional,,,,,,
BLOC,Functional,,,,,,
TM,Functional,,,,,,
QTPSS,Functional,,,,,,
B3PW91,Functional,,,,,,
B3P86,Functional,,,,,,
revPBE0,Functional,,,,,,
B97-1,Functional,,,,,,
B97-2,Functional,,,,,,
B97-3,Functional,,,,,,
B97-K,Functional,,,,,,
SOGGA11-X,Functional,,,,,,
revTPSSh,Functional,,,,,,
MVSh,Functional,,,,,,
SCAN0,Functional,,,,,,
MPW1B95,Functional,,,,,,
MPWB1K,Functional,,,,,,
PWB6K,Functional,,,,,,
M05,Functional,,,,,,
M05-2X,Functional,,,,,,
M06-2X,Functional,,,,,,
M06-HF,Functional,,,,,,
M08-HX,Functional,,,,,,
M08-SO,Functional,,,,,,
MN15,Functional,,,,,,
BMK,Functional,,,,,,
τ-HCTHh,Functional,,,,,,
ωB97,Functional,,,,,,
ωB97X,Functional,,,,,,
LC-ωPBE08,Functional,,,,,,
LRC-ωPBE,Functional,,,,,,
LRC-ωPBEh,Functional,,,,,,
CAM-B3LYP,Functional,,,,,,
N12-SX,Functional,,,,,,
M11,Functional,,,,,,
MN12-SX,Functional,,,,,,
ωB97M,Functional,,,,,,
ωM05,Functional,,,,,,
ωM06,Functional,,,,,,
PBEh,Functional,,,,,,
HFLYP,Functional,,,,,,
B2PLYP,Functional,,,,,,
D,DispersionCorrection,,DFT-D,,,,
D1,DispersionCorrection,,DFT-D,,,,
D2,DispersionCorrection,,DFT-D,,,,
D3(0),DispersionCorrection,,DFT-D,,,,
D3M(BJ),DispersionCorrection,,DFT-D,,,,
D3(CSO),DispersionCorrection,,DFT-D,,,,
VV10,DispersionCorrection,,NLC,,,,
rVV10,DispersionCorrection,,NLC,,,,
CHG,DispersionCorrection,,D2 Modification,,,,
3c,DispersionCorrection,,Empirical Correction,,,,
MGCDB84,BenchmarkSet,,Comprehensive Chemistry Database,,,,
AE,BenchmarkSet,,Atomisation Energies (124 SR),,,,
