paper_id,source_id,target_id,relationship_type,condition
Caldeweyher2019,Caldeweyher2019,D4,DEVELOPS,
Caldeweyher2019,D4,D3,REFINES_DISPERSION_CORRECTION,
Caldeweyher2019,D4-ATM,D3(BJ)-ATM,REFINES_DISPERSION_CORRECTION,
Caldeweyher2019,D4-MBD,D3(BJ)-ATM,REFINES_DISPERSION_CORRECTION,
Caldeweyher2019,Caldeweyher2019,D3,CITES,
Caldeweyher2019,Caldeweyher2019,S66x8,VALIDATES,
Caldeweyher2019,Caldeweyher2019,S22x5,VALIDATES,
Caldeweyher2019,Caldeweyher2019,NCIBLIND10,VALIDATES,
Caldeweyher2019,Caldeweyher2019,DOSD,VALIDATES,
Caldeweyher2019,Caldeweyher2019,TOMC6 Complete,VALIDATES,
Caldeweyher2019,Caldeweyher2019,TOMC6 Subset,VALIDATES,
Caldeweyher2019,Caldeweyher2019,L7,VALIDATES,
Caldeweyher2019,Caldeweyher2019,S30L,VALIDATES,
Caldeweyher2019,Caldeweyher2019,SCONF,VALIDATES,
Caldeweyher2019,Caldeweyher2019,PCONF21,VALIDATES,
Caldeweyher2019,Caldeweyher2019,ICONF,VALIDATES,
Caldeweyher2019,Caldeweyher2019,UPU23,VALIDATES,
Caldeweyher2019,Caldeweyher2019,MOR41,VALIDATES,
Caldeweyher2019,Caldeweyher2019,GMTKN55,VALIDATES,
Caldeweyher2019,Caldeweyher2019,ROT34,VALIDATES,
Caldeweyher2019,Caldeweyher2019,LMGB35,VALIDATES,
Caldeweyher2019,Caldeweyher2019,HMGB11,VALIDATES,
Caldeweyher2019,Caldeweyher2019,TMC32,VALIDATES,
Caldeweyher2019,Caldeweyher2019,S66,VALIDATES,
Caldeweyher2019,PBE,D3(BJ),APPLIES_CORRECTION,
Caldeweyher2019,PW6B95,D3(BJ),APPLIES_CORRECTION,
Caldeweyher2019,TPSS,D3(BJ),APPLIES_CORRECTION,
Caldeweyher2019,B3LYP,D3(BJ),APPLIES_CORRECTION,
Caldeweyher2019,PBE,D3(BJ)-ATM,APPLIES_CORRECTION,
Caldeweyher2019,B3LYP,D3(BJ)-ATM,APPLIES_CORRECTION,
Caldeweyher2019,PW6B95,D3(BJ)-ATM,APPLIES_CORRECTION,
Caldeweyher2019,PBE0,D3(BJ)-ATM,APPLIES_CORRECTION,
Caldeweyher2019,TPSS,D3(BJ)-ATM,APPLIES_CORRECTION,
Caldeweyher2019,O-LYP,D3(BJ)-ATM,APPLIES_CORRECTION,
Caldeweyher2019,SCAN,D3(BJ)-ATM,APPLIES_CORRECTION,
Caldeweyher2019,revPBE,D3(BJ)-ATM,APPLIES_CORRECTION,
Caldeweyher2019,PBE,D4-ATM,APPLIES_CORRECTION,
Caldeweyher2019,B3LYP,D4-ATM,APPLIES_CORRECTION,
Caldeweyher2019,PW6B95,D4-ATM,APPLIES_CORRECTION,
Caldeweyher2019,PBE0,D4-ATM,APPLIES_CORRECTION,
Caldeweyher2019,TPSS,D4-ATM,APPLIES_CORRECTION,
Caldeweyher2019,O-LYP,D4-ATM,APPLIES_CORRECTION,
Caldeweyher2019,SCAN,D4-ATM,APPLIES_CORRECTION,
Caldeweyher2019,revPBE,D4-ATM,APPLIES_CORRECTION,
Caldeweyher2019,PBE,D4(TB)-ATM,APPLIES_CORRECTION,
Caldeweyher2019,B3LYP,D4(TB)-ATM,APPLIES_CORRECTION,
Caldeweyher2019,PW6B95,D4(TB)-ATM,APPLIES_CORRECTION,
Caldeweyher2019,DSD-BLYP,D4-ATM,APPLIES_CORRECTION,
Caldeweyher2019,DSD-BLYP,D4-MBD,APPLIES_CORRECTION,
Caldeweyher2019,DSD-BLYP,D4(TB)-ATM,APPLIES_CORRECTION,
Caldeweyher2019,DSD-BLYP,D4(TB)-MBD,APPLIES_CORRECTION,
Caldeweyher2019,PW6B95,D4-MBD,APPLIES_CORRECTION,
Caldeweyher2019,B3LYP,D4-MBD,APPLIES_CORRECTION,
Caldeweyher2019,B3LYP,D4(TB)-MBD,APPLIES_CORRECTION,
Caldeweyher2019,PW6B95,D4(TB)-MBD,APPLIES_CORRECTION,
Caldeweyher2019,PBE,D4(TB),APPLIES_CORRECTION,
Caldeweyher2019,VR_DOSD_D4,DOSD,RESULT_FOR_BENCHMARK,
Caldeweyher2019,VR_DOSD_D4,MAD (%),RESULT_USING_METRIC,
Caldeweyher2019,VR_DOSD_D4,D4,RESULT_FOR_METHOD,
Caldeweyher2019,VR_DOSD_D4(TB),DOSD,RESULT_FOR_BENCHMARK,
Caldeweyher2019,VR_DOSD_D4(TB),MAD (%),RESULT_USING_METRIC,
Caldeweyher2019,VR_DOSD_D4(TB),D4(TB),RESULT_FOR_METHOD,
Caldeweyher2019,VR_DOSD_D3,DOSD,RESULT_FOR_BENCHMARK,
Caldeweyher2019,VR_DOSD_D3,MAD (%),RESULT_USING_METRIC,
Caldeweyher2019,VR_DOSD_D3,D3,RESULT_FOR_METHOD,
Caldeweyher2019,VR_DOSD_LRD,DOSD,RESULT_FOR_BENCHMARK,
