System,Distractor Ratio,Correctness (1-5) (95% CI),Relevance (1-5) (95% CI),Recall@K (95% CI),Precision@K (95% CI),MRR (95% CI),ROUGE-1 F1 (95% CI),ROUGE-L F1 (95% CI)
Baseline,0.0,"1.00 [1.00, 1.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.26 [0.26, 0.26]","0.24 [0.24, 0.24]"
Baseline,0.5,"1.00 [1.00, 1.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.26 [0.26, 0.26]","0.24 [0.24, 0.24]"
Baseline,1.0,"1.00 [1.00, 1.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.26 [0.26, 0.26]","0.24 [0.24, 0.24]"
Baseline,2.0,"1.00 [1.00, 1.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.26 [0.26, 0.26]","0.24 [0.24, 0.24]"
Baseline,3.0,"1.00 [1.00, 1.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.26 [0.26, 0.26]","0.24 [0.24, 0.24]"
Graph-Deterministic,0.0,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]"
Graph-Deterministic,0.5,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]"
Graph-Deterministic,1.0,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]"
Graph-Deterministic,2.0,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]"
Graph-Deterministic,3.0,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]"
