System,Distractor Ratio,Correctness (1-5) (95% CI),Relevance (1-5) (95% CI),Groundedness (0-1) (95% CI),Recall@K (95% CI),Precision@K (95% CI),MRR (95% CI),ROUGE-1 F1 (95% CI),ROUGE-L F1 (95% CI)
BM25RerankerRAG,0.0,"4.00 [4.00, 4.00]","5.00 [5.00, 5.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.69 [0.69, 0.69]","0.67 [0.67, 0.67]"
BM25RerankerRAG,0.5,"4.00 [4.00, 4.00]","5.00 [5.00, 5.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.69 [0.69, 0.69]","0.67 [0.67, 0.67]"
BM25RerankerRAG,1.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.69 [0.69, 0.69]","0.67 [0.67, 0.67]"
BM25RerankerRAG,2.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.69 [0.69, 0.69]","0.67 [0.67, 0.67]"
BM25RerankerRAG,3.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.69 [0.69, 0.69]","0.67 [0.67, 0.67]"
BM25Retriever,0.0,"4.00 [4.00, 4.00]","5.00 [5.00, 5.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.69 [0.69, 0.69]","0.67 [0.67, 0.67]"
BM25Retriever,0.5,"4.00 [4.00, 4.00]","5.00 [5.00, 5.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.69 [0.69, 0.69]","0.67 [0.67, 0.67]"
BM25Retriever,1.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.69 [0.69, 0.69]","0.67 [0.67, 0.67]"
BM25Retriever,2.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.69 [0.69, 0.69]","0.67 [0.67, 0.67]"
BM25Retriever,3.0,"-1.00 [-1.00, -1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.40 [0.40, 0.40]","1.00 [1.00, 1.00]","0.69 [0.69, 0.69]","0.67 [0.67, 0.67]"
Baseline,0.0,"1.00 [1.00, 1.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.26 [0.26, 0.26]","0.24 [0.24, 0.24]"
Baseline,0.5,"1.00 [1.00, 1.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.26 [0.26, 0.26]","0.24 [0.24, 0.24]"
Baseline,1.0,"-1.00 [-1.00, -1.00]","5.00 [5.00, 5.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.26 [0.26, 0.26]","0.24 [0.24, 0.24]"
