System,Distractor Ratio,Correctness (1-5) (95% CI),Relevance (1-5) (95% CI),Groundedness (0-1) (95% CI),Recall@K (95% CI),Precision@K (95% CI),MRR (95% CI),ROUGE-1 F1 (95% CI),ROUGE-L F1 (95% CI)
BM25RerankerRAG,0.0,"2.73 [2.57, 2.90]","2.94 [2.72, 3.15]","0.76 [0.68, 0.83]","0.77 [0.72, 0.83]","0.69 [0.63, 0.75]","0.85 [0.80, 0.91]","0.35 [0.33, 0.38]","0.24 [0.22, 0.26]"
BM25RerankerRAG,0.5,"2.77 [2.61, 2.94]","2.97 [2.75, 3.18]","0.76 [0.68, 0.83]","0.75 [0.70, 0.81]","0.68 [0.61, 0.74]","0.84 [0.78, 0.89]","0.36 [0.33, 0.38]","0.24 [0.22, 0.26]"
BM25RerankerRAG,1.0,"2.72 [2.56, 2.89]","2.94 [2.73, 3.14]","0.78 [0.71, 0.86]","0.77 [0.71, 0.82]","0.68 [0.62, 0.74]","0.85 [0.79, 0.90]","0.35 [0.33, 0.38]","0.24 [0.22, 0.26]"
BM25RerankerRAG,2.0,"2.72 [2.55, 2.89]","3.00 [2.77, 3.21]","0.74 [0.66, 0.82]","0.77 [0.72, 0.82]","0.68 [0.62, 0.74]","0.84 [0.79, 0.90]","0.36 [0.33, 0.38]","0.24 [0.22, 0.26]"
BM25RerankerRAG,3.0,"2.73 [2.56, 2.90]","2.98 [2.77, 3.20]","0.75 [0.68, 0.82]","0.77 [0.72, 0.82]","0.67 [0.61, 0.73]","0.85 [0.80, 0.90]","0.37 [0.34, 0.39]","0.25 [0.22, 0.27]"
BM25Retriever,0.0,"2.73 [2.56, 2.91]","2.90 [2.68, 3.12]","0.78 [0.72, 0.86]","0.77 [0.72, 0.83]","0.69 [0.63, 0.75]","0.85 [0.80, 0.91]","0.35 [0.33, 0.37]","0.23 [0.21, 0.25]"
BM25Retriever,0.5,"2.77 [2.60, 2.95]","3.03 [2.82, 3.24]","0.76 [0.68, 0.83]","0.75 [0.70, 0.81]","0.68 [0.61, 0.74]","0.84 [0.78, 0.89]","0.35 [0.33, 0.38]","0.23 [0.22, 0.26]"
BM25Retriever,1.0,"2.72 [2.55, 2.88]","3.01 [2.78, 3.22]","0.75 [0.67, 0.82]","0.77 [0.71, 0.82]","0.68 [0.62, 0.74]","0.85 [0.79, 0.90]","0.35 [0.33, 0.38]","0.24 [0.22, 0.26]"
BM25Retriever,2.0,"2.74 [2.58, 2.92]","3.05 [2.83, 3.27]","0.71 [0.62, 0.79]","0.77 [0.72, 0.82]","0.68 [0.62, 0.74]","0.84 [0.79, 0.90]","0.36 [0.34, 0.38]","0.24 [0.23, 0.27]"
BM25Retriever,3.0,"2.75 [2.58, 2.93]","3.06 [2.84, 3.28]","0.72 [0.64, 0.81]","0.77 [0.72, 0.82]","0.67 [0.61, 0.73]","0.85 [0.80, 0.90]","0.37 [0.35, 0.39]","0.25 [0.23, 0.27]"
Baseline,0.0,"2.29 [2.16, 2.43]","2.78 [2.54, 3.02]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.30 [0.28, 0.31]","0.19 [0.18, 0.20]"
