Model,Distractor Ratio,Score (μ ± σ),Fidelity Gap,Gap Display,Interpretation
StandardRAG,0.0,2.86 ± 0.95,0.0011648223645894795,0.12% (±3.02%),High Fidelity
CrossEncoderReranker,0.0,2.81 ± 0.96,0.018637157833430562,1.86% (±3.08%),High Fidelity
TemplatePrompting,0.0,2.78 ± 0.68,0.027373325567850992,2.74% (±2.16%),High Fidelity
BM25RerankerRAG,0.0,2.73 ± 0.98,0.044845661036691964,4.48% (±3.11%),High Fidelity
BM25Retriever,0.0,2.73 ± 1.00,0.04775771694816544,4.78% (±3.20%),High Fidelity
CoTPrompting,0.0,2.55 ± 0.53,0.10891089108910901,10.89% (±1.70%),High Fidelity
Baseline,0.0,2.29 ± 0.79,0.19918462434478756,19.92% (±2.53%),High Fidelity
Multi-AgentBM25,0.0,1.68 ± 0.81,0.4117647058823529,41.18% (±2.58%),Critical Loss
Multi-Agent,0.0,1.68 ± 0.76,0.4146767617938264,41.47% (±2.42%),Critical Loss
Graph-Anchored,0.0,1.59 ± 0.63,0.4437973209085615,44.38% (±2.00%),Critical Loss
Graph-Deterministic,0.0,1.58 ± 0.68,0.446709376820035,44.67% (±2.17%),Critical Loss
StandardRAG,0.5,2.87 ± 0.94,-0.0017472335468839972,-0.17% (±3.01%),High Fidelity
CrossEncoderReranker,0.5,2.83 ± 0.96,0.00990099009900991,0.99% (±3.05%),High Fidelity
BM25RerankerRAG,0.5,2.77 ± 0.97,0.03028538147932447,3.03% (±3.08%),High Fidelity
BM25Retriever,0.5,2.77 ± 1.01,0.03028538147932447,3.03% (±3.22%),High Fidelity
TemplatePrompting,0.5,2.75 ± 0.66,0.0390215492137449,3.90% (±2.12%),High Fidelity
CoTPrompting,0.5,2.56 ± 0.53,0.10599883517763553,10.60% (±1.69%),High Fidelity
Baseline,0.5,2.29 ± 0.80,0.19918462434478756,19.92% (±2.56%),High Fidelity
Multi-AgentBM25,0.5,1.68 ± 0.81,0.4117647058823529,41.18% (±2.58%),Critical Loss
Multi-Agent,0.5,1.67 ± 0.76,0.4175888177053,41.76% (±2.42%),Critical Loss
Graph-Anchored,0.5,1.59 ± 0.63,0.4437973209085615,44.38% (±2.00%),Critical Loss
Graph-Deterministic,0.5,1.58 ± 0.68,0.446709376820035,44.67% (±2.17%),Critical Loss
StandardRAG,1.0,2.86 ± 0.95,0.0011648223645894795,0.12% (±3.02%),High Fidelity
