Architecture,N,Correctness (mean),Correctness (std),Correctness 2nd,Relevance,Groundedness,ROUGE-1,ROUGE-L,Recall@K,Precision@K,MRR,Cohen's d,Latency (ms)
Baseline,600,2.29,0.8,2.08,2.78,0.0,0.297,0.191,0.0,0.0,0.0,0.0,2719.0
TemplatePrompting,600,2.76,0.66,2.65,3.58,0.0,0.227,0.146,0.0,0.0,0.0,0.633,9083.0
CoTPrompting,600,2.56,0.53,2.18,2.66,0.0,0.184,0.119,0.0,0.0,0.0,0.391,10438.0
BM25Retriever,600,2.74,1.01,2.57,3.01,0.74,0.357,0.239,0.77,0.68,0.85,0.494,3544.0
CrossEncoderReranker,600,2.81,0.97,2.65,3.02,0.75,0.367,0.247,0.77,0.68,0.85,0.584,3442.0
BM25RerankerRAG,600,2.73,0.98,2.63,2.97,0.76,0.358,0.24,0.77,0.68,0.85,0.494,3586.0
StandardRAG,600,2.86,0.95,2.72,3.17,0.68,0.369,0.244,0.75,0.69,0.8,0.651,3462.0
GraphRAG,600,1.59,0.63,1.34,1.32,0.94,0.224,0.151,0.45,0.2,0.37,-0.975,3305.0
GraphDeterministic,600,1.58,0.68,1.38,1.48,0.87,0.145,0.104,0.0,0.0,0.0,-0.956,4195.0
MultiAgent,600,1.67,0.76,1.44,1.44,0.93,0.219,0.15,0.44,0.19,0.32,-0.801,11685.0
MultiAgentBM25,600,1.68,0.81,1.5,1.47,0.92,0.219,0.15,0.45,0.2,0.33,-0.758,11397.0
