Architecture,Metric,Tier,Auto-KGR Score,BM25RerankerRAG Score,Graph Lift (dG)
GraphRAG,correctness,Overall,1.592,2.733,-0.4177
GraphRAG,correctness,T1: Factual,1.467,2.573,-0.4301
GraphRAG,correctness,T2: Constraint,1.733,2.953,-0.4131
GraphRAG,correctness,T3: MultiHop,1.46,2.52,-0.4206
GraphRAG,correctness,T4: Comparative,1.707,2.887,-0.4088
GraphRAG,groundedness,Overall,0.943,0.758,0.244
GraphRAG,groundedness,T1: Factual,0.933,0.947,-0.0141
GraphRAG,groundedness,T2: Constraint,0.933,0.713,0.3084
GraphRAG,groundedness,T3: MultiHop,0.973,0.773,0.2586
GraphRAG,groundedness,T4: Comparative,0.933,0.6,0.5556
GraphRAG,relevance,Overall,1.32,2.967,-0.5551
GraphRAG,relevance,T1: Factual,1.4,2.58,-0.4574
GraphRAG,relevance,T2: Constraint,1.633,3.607,-0.5471
GraphRAG,relevance,T3: MultiHop,1.1,2.44,-0.5492
GraphRAG,relevance,T4: Comparative,1.147,3.24,-0.6461
GraphRAG,rougeL_fmeasure,Overall,0.151,0.24,-0.3709
GraphRAG,rougeL_fmeasure,T1: Factual,0.125,0.273,-0.5421
GraphRAG,rougeL_fmeasure,T2: Constraint,0.174,0.275,-0.3672
GraphRAG,rougeL_fmeasure,T3: MultiHop,0.154,0.224,-0.3148
GraphRAG,rougeL_fmeasure,T4: Comparative,0.151,0.187,-0.1937
GraphRAG,gold_retrieval_recall_at_k,Overall,0.452,0.768,-0.4117
GraphRAG,gold_retrieval_recall_at_k,T1: Factual,0.467,0.777,-0.3991
GraphRAG,gold_retrieval_recall_at_k,T2: Constraint,0.383,0.797,-0.5188
GraphRAG,gold_retrieval_recall_at_k,T3: MultiHop,0.533,0.842,-0.3668
GraphRAG,gold_retrieval_recall_at_k,T4: Comparative,0.423,0.656,-0.3542
GraphDeterministic,correctness,Overall,1.583,2.733,-0.4207
GraphDeterministic,correctness,T1: Factual,1.833,2.573,-0.2876
GraphDeterministic,correctness,T2: Constraint,1.6,2.953,-0.4582
GraphDeterministic,correctness,T3: MultiHop,1.433,2.52,-0.4312
GraphDeterministic,correctness,T4: Comparative,1.467,2.887,-0.4919
GraphDeterministic,groundedness,Overall,0.867,0.758,0.1429
GraphDeterministic,groundedness,T1: Factual,0.933,0.947,-0.0141
GraphDeterministic,groundedness,T2: Constraint,0.8,0.713,0.1215
GraphDeterministic,groundedness,T3: MultiHop,0.9,0.773,0.1638
GraphDeterministic,groundedness,T4: Comparative,0.833,0.6,0.3889
